Unnamed: 0,roi,modis_smoothed,starfm
,projects/rangelands-explo-1571664594580/assets/Ranches/HLR/D12,2023-09-09 19:56:26.144829,2023-09-09 20:25:28.591969
,projects/rangelands-explo-1571664594580/assets/Ranches/HLR/E12,2023-09-09 20:38:08.095476,2023-09-09 21:08:17.639838
,projects/rangelands-explo-1571664594580/assets/Ranches/HLR/F12,2023-09-09 21:21:12.013699,2023-09-09 21:52:50.726299
,projects/rangelands-explo-1571664594580/assets/Ranches/HLR/D11,2023-09-09 22:05:38.737822,2023-09-09 22:35:37.795138
,projects/rangelands-explo-1571664594580/assets/Ranches/HLR/E11,2023-09-10 04:01:52.653913,2023-09-10 04:30:49.171638
,projects/rangelands-explo-1571664594580/assets/Ranches/HLR/F11,2023-09-10 04:43:34.209081,2023-09-10 05:12:02.573053
,projects/rangelands-explo-1571664594580/assets/Ranches/HLR/D10,2023-09-10 05:25:06.311723,2023-09-10 05:53:57.141503
,projects/rangelands-explo-1571664594580/assets/Ranches/HLR/E10,2023-09-10 06:07:01.127305,2023-09-10 06:34:27.828819
,projects/rangelands-explo-1571664594580/assets/Ranches/HLR/F10,2023-09-10 06:47:04.137370,2023-09-10 07:13:54.732929
,projects/rangelands-explo-1571664594580/assets/Ranches/HLR/D9,2023-09-10 07:26:30.490616,2023-09-10 07:53:51.536114
,projects/rangelands-explo-1571664594580/assets/Ranches/HLR/E9,2023-09-10 08:06:29.429527,2023-09-10 08:33:41.948383
,projects/rangelands-explo-1571664594580/assets/Ranches/HLR/F9,2023-09-10 08:46:15.241551,2023-09-10 09:13:14.082901
,projects/rangelands-explo-1571664594580/assets/Ranches/HLR/E8,2023-09-10 09:25:39.186190,2023-09-10 09:52:05.029635
,projects/rangelands-explo-1571664594580/assets/Ranches/HLR/F8,2023-09-10 10:04:32.662052,2023-09-10 10:30:36.964389
,projects/rangelands-explo-1571664594580/assets/Ranches/HLR/F7,2023-09-10 10:43:18.774753,2023-09-10 11:10:52.559171
,projects/rangelands-explo-1571664594580/assets/Ranches/HLR/E7,2023-09-10 11:23:20.536903,2023-09-10 11:50:15.655565
