roi,geometry,landsat_total,landsat_success,landsat_failed,modis_total,modis_success,modis_failed,imagery_downloaded
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/K1,"{'type': 'Polygon', 'coordinates': [[[-108.94022979771468, 39.28727459268448], [-108.89663873993177, 39.278893521039656], [-108.88581091026778, 39.3126281212735], [-108.92940198311588, 39.32100513039703], [-108.94022979771468, 39.28727459268448]]]}",478.0,478.0,0.0,1967.0,1967.0,0.0,2023-08-18 05:02:14.795737
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/K2,"{'type': 'Polygon', 'coordinates': [[[-108.89663873993177, 39.278893521039656], [-108.85304759026776, 39.270511522914326], [-108.84221976469465, 39.304250173297014], [-108.88581091026778, 39.3126281212735], [-108.89663873993177, 39.278893521039656]]]}",576.0,576.0,0.0,1989.0,1989.0,0.0,2023-08-18 15:38:14.014013
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/K3,"{'type': 'Polygon', 'coordinates': [[[-108.85304759026776, 39.270511522914326], [-108.80945651651865, 39.262128523494525], [-108.79862871419941, 39.29587121169658], [-108.84221976469465, 39.304250173297014], [-108.85304759026776, 39.270511522914326]]]}",701.0,701.0,0.0,2090.0,2090.0,0.0,2023-08-19 01:01:20.653003
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/K4,"{'type': 'Polygon', 'coordinates': [[[-108.80945651651865, 39.262128523494525], [-108.76586541456093, 39.25374449339333], [-108.75503756403648, 39.28749122219262], [-108.79862871419941, 39.29587121169658], [-108.80945651651865, 39.262128523494525]]]}",980.0,980.0,0.0,2313.0,2313.0,0.0,2023-08-19 10:37:03.027618
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/K13,"{'type': 'Polygon', 'coordinates': [[[-108.41713653083936, 39.18663623292912], [-108.37354539744928, 39.17824314227605], [-108.3627176167554, 39.212026198907374], [-108.40630871554522, 39.22041519207921], [-108.41713653083936, 39.18663623292912]]]}",754.0,754.0,0.0,2136.0,2136.0,0.0,2023-08-19 17:52:56.320325
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/K14,"{'type': 'Polygon', 'coordinates': [[[-108.37354539744928, 39.17824314227605], [-108.32995428665077, 39.16984915282021], [-108.31912655989584, 39.20363614115138], [-108.3627176167554, 39.212026198907374], [-108.37354539744928, 39.17824314227605]]]}",826.0,826.0,0.0,2197.0,2197.0,0.0,2023-08-20 00:52:47.701795
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/K15,"{'type': 'Polygon', 'coordinates': [[[-108.32995428665077, 39.16984915282021], [-108.28636318583497, 39.161454065421154], [-108.27553544185686, 39.19524514122609], [-108.31912655989584, 39.20363614115138], [-108.32995428665077, 39.16984915282021]]]}",789.0,789.0,0.0,2161.0,2161.0,0.0,2023-08-20 06:09:41.441139
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/K16,"{'type': 'Polygon', 'coordinates': [[[-108.28636318583497, 39.161454065421154], [-108.24277208248049, 39.15305798778163], [-108.23194434066728, 39.18685313868782], [-108.27553544185686, 39.19524514122609], [-108.28636318583497, 39.161454065421154]]]}",697.0,697.0,0.0,2090.0,2090.0,0.0,2023-08-20 11:31:00.651641
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/J1,"{'type': 'Polygon', 'coordinates': [[[-108.92940198311588, 39.32100513039703], [-108.88581091026778, 39.3126281212735], [-108.87498310060607, 39.34634649237609], [-108.9185741837646, 39.35471944109233], [-108.92940198311588, 39.32100513039703]]]}",560.0,560.0,0.0,1973.0,1973.0,0.0,2023-08-20 16:02:02.343558
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/J2,"{'type': 'Polygon', 'coordinates': [[[-108.88581091026778, 39.3126281212735], [-108.84221976469465, 39.304250173297014], [-108.83139196388085, 39.33797251604748], [-108.87498310060607, 39.34634649237609], [-108.88581091026778, 39.3126281212735]]]}",594.0,594.0,0.0,2000.0,2000.0,0.0,2023-08-20 21:06:11.347999
