,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,roi,geometry,landsat_total,landsat_success,landsat_failed,modis_total,modis_success,modis_failed,imagery_downloaded,modis_smoothed,starfm
0,0,0,0,A32,"{'type': 'Polygon', 'coordinates': [[[-97.82765613428141, 36.81265274579693], [-97.81203595010551, 36.812652780792156], [-97.81203595010551, 36.82495095476748], [-97.82765613428141, 36.82495094565695], [-97.82765613428141, 36.81265274579693]]]}",896.0,896.0,0.0,1902.0,1902.0,0.0,2023-06-16 00:55:18.124156,,
1,1,1,1,AR1,"{'type': 'Polygon', 'coordinates': [[[-99.42784022788643, 36.420849413998084], [-99.41200594920652, 36.42084941271228], [-99.41200594920652, 36.433317005093976], [-99.42784022788643, 36.43331704168593], [-99.42784022788643, 36.420849413998084]]]}",258.0,258.0,0.0,1744.0,1744.0,0.0,2023-06-16 03:17:39.140078,,
2,2,2,2,AR2,"{'type': 'Polygon', 'coordinates': [[[-99.60413077404357, 36.6291072607944], [-99.58876477676533, 36.629107200412584], [-99.58876477676533, 36.641659595378634], [-99.60413077404357, 36.64165961031555], [-99.60413077404357, 36.6291072607944]]]}",543.0,543.0,0.0,1944.0,1944.0,0.0,2023-06-16 06:19:16.163636,,
3,3,3,3,ARbc,"{'type': 'Polygon', 'coordinates': [[[-98.04794468213066, 35.541688570404716], [-98.03253846889784, 35.54168854735564], [-98.03253846889784, 35.55415175013805], [-98.04794468213066, 35.55415171061447], [-98.04794468213066, 35.541688570404716]]]}",443.0,443.0,0.0,1881.0,1881.0,0.0,2023-06-16 09:00:06.534106,,
4,4,4,4,Aud,"{'type': 'Polygon', 'coordinates': [[[-110.5192030990844, 31.583291075231376], [-110.50109467766188, 31.583291060297977], [-110.50109467766188, 31.595901400696444], [-110.5192030990844, 31.595901419043468], [-110.5192030990844, 31.583291075231376]]]}",1270.0,1270.0,0.0,2552.0,2552.0,0.0,2023-06-16 16:57:56.054570,,
5,5,5,5,BMM,"{'type': 'Polygon', 'coordinates': [[[-110.78783276649398, 45.77540574542468], [-110.7674902682321, 45.77540572634456], [-110.76749027551115, 45.78791350421052], [-110.78783272066617, 45.787913544981166], [-110.78783276649398, 45.77540574542468]]]}",357.0,357.0,0.0,1821.0,1821.0,0.0,2023-06-16 19:44:54.983152,,
6,6,6,6,BRG,"{'type': 'Polygon', 'coordinates': [[[-86.54835112735792, 39.20839846325997], [-86.532044177091, 39.208398405824745], [-86.532044177091, 39.22080362384555], [-86.54835112735792, 39.2208036604881], [-86.54835112735792, 39.20839846325997]]]}",560.0,560.0,0.0,1977.0,1977.0,0.0,2023-06-17 01:34:26.570783,,
7,7,7,7,Bkg,"{'type': 'Polygon', 'coordinates': [[[-96.84626596301418, 44.33748390923434], [-96.82554006387576, 44.33748389934463], [-96.82554006387576, 44.350067498769576], [-96.84626596301418, 44.350067454144536], [-96.84626596301418, 44.33748390923434]]]}",274.0,274.0,0.0,1744.0,1744.0,0.0,2023-06-17 03:04:15.271567,,
8,8,8,8,CZ1_xSJ,"{'type': 'Polygon', 'coordinates': [[[-119.74152037807104, 37.09993480965112], [-119.7210084617827, 37.09993484049417], [-119.7210084617827, 37.11650034367294], [-119.74152037807104, 37.116500391549145], [-119.74152037807104, 37.09993480965112]]]}",1256.0,1256.0,0.0,2536.0,2536.0,0.0,2023-06-17 08:40:35.292670,,
9,9,9,9,Cop,"{'type': 'Polygon', 'coordinates': [[[-109.39833219742346, 38.083340526966495], [-109.38116470726622, 38.08334051172593], [-109.38116470726622, 38.09583938433891], [-109.39833219742346, 38.095839328808914], [-109.39833219742346, 38.083340526966495]]]}",919.0,919.0,0.0,1909.0,1909.0,0.0,2023-06-17 12:20:23.612798,,
10,10,10,10,Ctn,"{'type': 'Polygon', 'coordinates': [[[-101.8565565214069, 43.94272410837846], [-101.83638351709999, 43.94272411232997], [-101.83638351709999, 43.95786279805809], [-101.8565565214069, 43.95786281150426], [-101.8565565214069, 43.94272410837846]]]}",1005.0,1005.0,0.0,2062.0,2062.0,0.0,2023-06-17 16:36:47.760489,,
11,11,11,11,Dia,"{'type': 'Polygon', 'coordinates': [[[-121.53851134602566, 37.67081122492774], [-121.52155785347497, 37.67081120201528], [-121.52155785347497, 37.68327439153011], [-121.53851134602566, 37.68327437066805], [-121.53851134602566, 37.67081122492774]]]}",1208.0,1208.0,0.0,2503.0,2503.0,0.0,2023-06-17 20:28:51.764072,,
12,12,12,12,Fpe,"{'type': 'Polygon', 'coordinates': [[[-105.1120302563225, 48.300037274644986], [-105.09194204022667, 48.30003724263014], [-105.09194205279661, 48.31316932941548], [-105.11203027624612, 48.313169300006024], [-105.1120302563225, 48.300037274644986]]]}",879.0,879.0,0.0,2019.0,2019.0,0.0,2023-06-17 23:00:04.175759,,
13,13,13,13,Fwf,"{'type': 'Polygon', 'coordinates': [[[-111.78068282098775, 35.437537310017255], [-111.76291771472643, 35.43753730390199], [-111.76291771472641, 35.4540404887202], [-111.78068282098775, 35.45404043777206], [-111.78068282098775, 35.437537310017255]]]}",489.0,489.0,0.0,1857.0,1857.0,0.0,2023-06-18 00:22:40.412127,,
