Unnamed: 0,roi,modis_smoothed,starfm
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/G1,2023-08-15 21:24:32.519921,2023-08-15 21:54:37.449031
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/G2,2023-08-15 22:18:28.676719,2023-08-15 22:47:04.901489
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/G3,2023-08-15 23:00:31.005579,2023-08-15 23:27:17.383843
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/G4,2023-08-15 23:41:24.521214,2023-08-16 00:10:22.704505
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/G5,2023-08-16 00:24:21.923781,2023-08-16 00:52:48.815715
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/G6,2023-08-16 01:06:01.606435,2023-08-16 01:33:17.027158
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/F1,2023-08-16 01:47:11.105240,2023-08-16 02:15:54.357809
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/F2,2023-08-16 02:30:06.748377,2023-08-16 02:59:13.924235
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/F3,2023-08-16 03:13:23.568731,2023-08-16 03:42:25.363792
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/F4,2023-08-16 03:56:34.938748,2023-08-16 04:25:21.893349
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/F5,2023-08-16 04:39:10.153077,2023-08-16 05:07:18.668416
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/F6,2023-08-16 05:21:15.661991,2023-08-16 05:50:17.328825
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/E1,2023-08-16 06:04:24.869232,2023-08-16 06:32:54.654632
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/E2,2023-08-16 06:47:08.275919,2023-08-16 07:15:44.509063
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/E3,2023-08-16 07:29:56.998651,2023-08-16 07:58:50.067078
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/E4,2023-08-16 08:12:47.683729,2023-08-16 08:41:09.725424
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/E5,2023-08-16 08:54:38.637656,2023-08-16 09:22:14.939278
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/E6,2023-08-16 09:36:08.180604,2023-08-16 10:05:03.875304
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/D2,2023-08-16 10:18:47.061755,2023-08-16 10:46:41.333748
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/D3,2023-08-16 11:00:37.148465,2023-08-16 11:28:48.337203
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/D4,2023-08-16 11:42:50.243001,2023-08-16 12:11:51.547218
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/D5,2023-08-16 12:25:30.437932,2023-08-16 12:53:45.774255
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/C2,2023-08-16 13:08:19.976223,2023-08-16 13:37:33.914030
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/C3,2023-08-16 13:51:57.502769,2023-08-16 14:21:04.209512
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/C4,2023-08-16 14:35:20.729182,2023-08-16 15:03:34.781609
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/C5,2023-08-16 15:17:30.908635,2023-08-16 15:45:52.997196
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/C6,2023-08-16 15:59:27.047912,2023-08-16 16:27:10.260981
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/B3,2023-08-16 16:41:14.103528,2023-08-16 17:10:26.570423
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/B4,2023-08-16 17:24:25.435770,2023-08-16 17:53:51.874546
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/B5,2023-08-16 18:07:56.367515,2023-08-16 18:36:43.301584
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/B6,2023-08-16 18:50:46.895614,2023-08-16 19:19:19.834901
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/A3,2023-08-16 19:33:34.843592,2023-08-16 20:02:29.321257
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/A4,2023-08-16 20:16:45.562616,2023-08-16 20:47:39.414195
,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/A5,2023-08-16 21:01:44.050212,2023-08-16 21:31:01.658475
