Unnamed: 0,roi,modis_smoothed,starfm
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Snf/Snf,2023-10-05 13:44:37.192838,2023-10-05 14:05:20.945959
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Ton/Ton,2023-10-05 14:18:14.793244,2023-10-05 14:45:10.213869
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Tx1/Tx1,2023-10-05 14:54:03.988358,2023-10-05 15:10:56.933031
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Tx2/Tx2,2023-10-05 15:20:11.606175,2023-10-05 15:37:12.024368
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Var/Var,2023-10-05 15:50:04.671658,2023-10-05 16:16:37.905780
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Wdn/Wdn,2023-10-05 16:25:57.696585,2023-10-05 16:41:24.274159
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Wjs/Wjs,2023-10-05 19:21:35.480722,2023-10-05 19:41:07.349651
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Wkg/Wkg,2023-10-05 19:51:24.907352,2023-10-05 20:11:49.513147
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xAE/xAE,2023-10-05 20:22:56.710533,2023-10-05 20:45:16.542602
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xCL/xCL,2023-10-05 20:55:32.007978,2023-10-05 21:16:44.504216
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xCP/xCP,2023-10-05 23:30:37.363278,2023-10-05 23:52:29.609603
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xDC/xDC,2023-10-08 03:53:48.182601,2023-10-08 04:07:50.550806
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xJR/xJR,2023-10-08 04:18:20.758617,2023-10-08 04:38:56.539849
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xKA/xKA,2023-10-08 04:47:53.319717,2023-10-08 05:05:09.697026
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xKZ/xKZ,2023-10-08 05:14:12.829016,2023-10-08 05:31:57.502053
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xMB/xMB,2023-10-08 05:41:06.174855,2023-10-08 05:58:13.266115
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xNG/xNG,2023-10-08 06:07:57.130316,2023-10-08 06:23:23.815333
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xNQ/xNQ,2023-10-11 16:58:07.572721,2023-10-11 17:22:07.772789
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xWD/xWD,2023-10-11 17:31:17.178037,2023-10-11 17:45:24.334841
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xYE/xYE,2023-10-11 17:52:55.951228,2023-10-11 18:02:19.734489
