Unnamed: 0,roi,modis_smoothed,starfm
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/A32/A32,2023-10-04 20:38:52.312040,2023-10-04 20:55:53.046051
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/AR1/AR1,2023-10-04 21:05:20.018856,2023-10-04 21:22:58.898125
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/AR2/AR2,2023-10-04 21:32:19.801142,2023-10-04 21:50:42.679299
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/ARbc/ARbc,2023-10-04 21:59:52.328325,2023-10-04 22:16:46.798531
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Aud/Aud,2023-10-04 22:29:08.955745,2023-10-04 22:55:16.469721
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/BMM/BMM,2023-10-04 23:02:32.094522,2023-10-04 23:11:57.944756
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/BRG/BRG,2023-10-04 23:21:00.499406,2023-10-04 23:36:12.421451
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Bkg/Bkg,2023-10-04 23:44:00.512194,2023-10-04 23:56:54.520885
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/CZ1_xSJ/CZ1_xSJ,2023-10-05 00:09:23.112396,2023-10-05 00:38:16.638576
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Cop/Cop,2023-10-05 00:47:12.344577,2023-10-05 01:03:33.974774
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Ctn/Ctn,2023-10-05 01:13:30.747351,2023-10-05 01:33:22.742233
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Dia/Dia,2023-10-05 01:45:19.806139,2023-10-05 02:09:01.327615
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Fpe/Fpe,2023-10-05 02:18:00.199978,2023-10-05 02:33:08.104728
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Fwf/Fwf,2023-10-05 02:41:44.387423,2023-10-05 02:59:03.497109
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Hn2_3/Hn2_3,2023-10-05 03:09:10.076765,2023-10-05 03:27:20.590510
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/IB2/IB2,2023-10-05 03:35:00.646841,2023-10-05 03:47:22.252225
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Jo1/Jo1,2023-10-05 03:57:16.188478,2023-10-05 04:17:11.450752
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/KFS/KFS,2023-10-05 04:26:02.719084,2023-10-05 04:42:10.450581
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/KLS/KLS,2023-10-05 04:52:27.822449,2023-10-05 05:13:12.669529
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/KM2_3/KM2_3,2023-10-05 05:20:38.874362,2023-10-05 05:33:10.745384
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/KM4/KM4,2023-10-05 05:40:43.473286,2023-10-05 05:51:55.137881
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/LS1_2/LS1_2,2023-10-05 06:02:02.112587,2023-10-05 06:26:04.333242
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Mpj/Mpj,2023-10-05 06:35:28.015455,2023-10-05 06:53:49.205082
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/RFW/RFW,2023-10-05 07:03:58.386701,2023-10-05 07:23:39.080273
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Rls/Rls,2023-10-05 07:33:18.070573,2023-10-05 07:49:47.122052
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Ro4/Ro4,2023-10-05 07:58:26.309491,2023-10-05 08:12:58.593344
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Rwe_Rms/Rwe_Rms,2023-10-05 08:21:26.029294,2023-10-05 08:35:46.298570
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Rwf/Rwf,2023-10-05 08:44:48.459075,2023-10-05 08:59:13.506104
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Rws/Rws,2023-10-05 09:09:26.890504,2023-10-05 09:27:54.087390
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/SCg/SCg,2023-10-05 09:40:16.001723,2023-10-05 10:06:08.095363
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/SRM/SRM,2023-10-05 10:17:00.024240,2023-10-05 10:38:27.176798
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/SdH/SdH,2023-10-05 10:48:53.377738,2023-10-05 11:09:17.339340
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Seg/Seg,2023-10-05 11:22:09.588919,2023-10-05 11:49:49.748936
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Ses/Ses,2023-10-05 12:02:32.302022,2023-10-05 12:30:50.218274
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Shd/Shd,2023-10-05 12:41:47.006866,2023-10-05 13:04:40.999961
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Snd/Snd,2023-10-05 13:14:21.787784,2023-10-05 13:34:24.169708
