roi,geometry,landsat_total,landsat_success,landsat_failed,modis_total,modis_success,modis_failed,imagery_downloaded
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/G1,"{'type': 'Polygon', 'coordinates': [[[-109.61690002558473, 38.81768313208998], [-109.58394015803263, 38.793904763744706], [-109.55342668897607, 38.819589261694816], [-109.58638660595078, 38.84335905464582], [-109.61690002558473, 38.81768313208998]]]}",0.0,0.0,0.0,0.0,0.0,0.0,2023-10-18 02:14:37.945126
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/G2,"{'type': 'Polygon', 'coordinates': [[[-109.58394015803263, 38.793904763744706], [-109.55098020959812, 38.77011852254625], [-109.52046681241313, 38.795811579469394], [-109.55342668897607, 38.819589261694816], [-109.58394015803263, 38.793904763744706]]]}",551.0,551.0,0.0,29.0,29.0,0.0,2023-10-18 17:25:58.692406
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/G3,"{'type': 'Polygon', 'coordinates': [[[-109.55098020959812, 38.77011852254625], [-109.51802030402443, 38.74632426628155], [-109.48750682763121, 38.77202591298066], [-109.52046681241313, 38.795811579469394], [-109.55098020959812, 38.77011852254625]]]}",548.0,548.0,0.0,124.0,124.0,0.0,2023-10-19 05:05:56.720147
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/G4,"{'type': 'Polygon', 'coordinates': [[[-109.51802030402443, 38.74632426628155], [-109.48506038346962, 38.72252211481931], [-109.45454694918399, 38.74823233490195], [-109.48750682763121, 38.77202591298066], [-109.51802030402443, 38.74632426628155]]]}",556.0,556.0,0.0,27.0,27.0,0.0,2023-10-19 19:43:52.114770
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/G5,"{'type': 'Polygon', 'coordinates': [[[-109.48506038346962, 38.72252211481931], [-109.4521004809076, 38.69871209550738], [-109.42158702848711, 38.724430826966916], [-109.45454694918399, 38.74823233490195], [-109.48506038346962, 38.72252211481931]]]}",522.0,522.0,0.0,29.0,29.0,0.0,2023-10-20 06:07:28.278735
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/G6,"{'type': 'Polygon', 'coordinates': [[[-109.4521004809076, 38.69871209550738], [-109.41914053854853, 38.67489409735583], [-109.38862709855458, 38.70062141639675], [-109.42158702848711, 38.724430826966916], [-109.4521004809076, 38.69871209550738]]]}",530.0,530.0,0.0,120.0,120.0,0.0,2023-10-20 20:14:34.090331
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/F1,"{'type': 'Polygon', 'coordinates': [[[-109.58638660595078, 38.84335905464582], [-109.55342668897607, 38.819589261694816], [-109.52291324141765, 38.84526449887339], [-109.55587317958233, 38.86902571185353], [-109.58638660595078, 38.84335905464582]]]}",556.0,556.0,0.0,18.0,18.0,0.0,2023-10-21 06:41:48.650560
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/F2,"{'type': 'Polygon', 'coordinates': [[[-109.55342668897607, 38.819589261694816], [-109.52046681241313, 38.795811579469394], [-109.48995337417047, 38.82149531915096], [-109.52291324141765, 38.84526449887339], [-109.55342668897607, 38.819589261694816]]]}",566.0,566.0,0.0,7.0,7.0,0.0,2023-10-21 16:52:00.513226
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/F3,"{'type': 'Polygon', 'coordinates': [[[-109.52046681241313, 38.795811579469394], [-109.48750682763121, 38.77202591298066], [-109.45699342923142, 38.79771830816171], [-109.48995337417047, 38.82149531915096], [-109.52046681241313, 38.795811579469394]]]}",552.0,552.0,0.0,11.0,11.0,0.0,2023-10-22 00:22:45.152705
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/F4,"{'type': 'Polygon', 'coordinates': [[[-109.48750682763121, 38.77202591298066], [-109.45454694918399, 38.74823233490195], [-109.424033530378, 38.77393324687388], [-109.45699342923142, 38.79771830816171], [-109.48750682763121, 38.77202591298066]]]}",544.0,544.0,0.0,1.0,1.0,0.0,2023-10-22 07:35:44.797098
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/F5,"{'type': 'Polygon', 'coordinates': [[[-109.45454694918399, 38.74823233490195], [-109.42158702848711, 38.724430826966916], [-109.3910736198354, 38.75014033188449], [-109.424033530378, 38.77393324687388], [-109.45454694918399, 38.74823233490195]]]}",510.0,510.0,0.0,6.0,6.0,0.0,2023-10-22 14:22:22.172505
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/F6,"{'type': 'Polygon', 'coordinates': [[[-109.42158702848711, 38.724430826966916], [-109.38862709855458, 38.70062141639675], [-109.35811363986456, 38.72633945214815], [-109.3910736198354, 38.75014033188449], [-109.42158702848711, 38.724430826966916]]]}",527.0,527.0,0.0,37.0,37.0,0.0,2023-10-22 20:45:36.784423
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/E1,"{'type': 'Polygon', 'coordinates': [[[-109.55587317958233, 38.86902571185353], [-109.52291324141765, 38.84526449887339], [-109.49239984149871, 38.87093045026957], [-109.52535977261151, 38.89468307871238], [-109.55587317958233, 38.86902571185353]]]}",547.0,547.0,0.0,17.0,17.0,0.0,2023-10-23 02:34:46.558755
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/E2,"{'type': 'Polygon', 'coordinates': [[[-109.52291324141765, 38.84526449887339], [-109.48995337417047, 38.82149531915096], [-109.45943992103653, 38.847169870162624], [-109.49239984149871, 38.87093045026957], [-109.52291324141765, 38.84526449887339]]]}",548.0,548.0,0.0,3.0,3.0,0.0,2023-10-23 12:08:26.496098
