roi,geometry,landsat_total,landsat_success,landsat_failed,modis_total,modis_success,modis_failed,imagery_downloaded
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/E3,"{'type': 'Polygon', 'coordinates': [[[-109.48995337417047, 38.82149531915096], [-109.45699342923142, 38.79771830816171], [-109.42647995343128, 38.8234013812275], [-109.45943992103653, 38.847169870162624], [-109.48995337417047, 38.82149531915096]]]}",551.0,551.0,0.0,5.0,5.0,0.0,2023-10-23 22:18:15.965254
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/E4,"{'type': 'Polygon', 'coordinates': [[[-109.45699342923142, 38.79771830816171], [-109.424033530378, 38.77393324687388], [-109.39352006246598, 38.799624995041974], [-109.42647995343128, 38.8234013812275], [-109.45699342923142, 38.79771830816171]]]}",524.0,524.0,0.0,4.0,4.0,0.0,2023-10-24 08:26:03.177401
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/E5,"{'type': 'Polygon', 'coordinates': [[[-109.424033530378, 38.77393324687388], [-109.3910736198354, 38.75014033188449], [-109.36056019038215, 38.77584060070729], [-109.39352006246598, 38.799624995041974], [-109.424033530378, 38.77393324687388]]]}",495.0,495.0,0.0,5.0,5.0,0.0,2023-10-24 20:47:41.869446
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/E6,"{'type': 'Polygon', 'coordinates': [[[-109.3910736198354, 38.75014033188449], [-109.35811363986456, 38.72633945214815], [-109.32760027945719, 38.75204831783137], [-109.36056019038215, 38.77584060070729], [-109.3910736198354, 38.75014033188449]]]}",519.0,519.0,0.0,22.0,22.0,0.0,2023-10-25 06:28:23.422553
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/D2,"{'type': 'Polygon', 'coordinates': [[[-109.49239984149871, 38.87093045026957], [-109.45943992103653, 38.847169870162624], [-109.42892647918637, 38.87283513063638], [-109.461886424586, 38.8965871833624], [-109.49239984149871, 38.87093045026957]]]}",544.0,544.0,0.0,39.0,39.0,0.0,2023-10-25 19:50:35.808188
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/D3,"{'type': 'Polygon', 'coordinates': [[[-109.45943992103653, 38.847169870162624], [-109.42647995343128, 38.8234013812275], [-109.39596651720268, 38.84907524515759], [-109.42892647918637, 38.87283513063638], [-109.45943992103653, 38.847169870162624]]]}",539.0,539.0,0.0,29.0,29.0,0.0,2023-10-26 05:14:39.002758
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/D4,"{'type': 'Polygon', 'coordinates': [[[-109.42647995343128, 38.8234013812275], [-109.39352006246598, 38.799624995041974], [-109.36300666242322, 38.82530738493288], [-109.39596651720268, 38.84907524515759], [-109.42647995343128, 38.8234013812275]]]}",540.0,540.0,0.0,6.0,6.0,0.0,2023-10-26 17:36:56.799324
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/D5,"{'type': 'Polygon', 'coordinates': [[[-109.39352006246598, 38.799624995041974], [-109.36056019038215, 38.77584060070729], [-109.33004667558822, 38.80153162385441], [-109.36300666242322, 38.82530738493288], [-109.39352006246598, 38.799624995041974]]]}",502.0,502.0,0.0,37.0,37.0,0.0,2023-10-27 03:17:08.649056
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/C2,"{'type': 'Polygon', 'coordinates': [[[-109.461886424586, 38.8965871833624], [-109.42892647918637, 38.87283513063638], [-109.39841307480364, 38.89849115237697], [-109.43137292607634, 38.92223461207479], [-109.461886424586, 38.8965871833624]]]}",554.0,554.0,0.0,7.0,7.0,0.0,2023-10-27 16:43:33.635044
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/C3,"{'type': 'Polygon', 'coordinates': [[[-109.42892647918637, 38.87283513063638], [-109.39596651720268, 38.84907524515759], [-109.36545314673847, 38.874739798126406], [-109.39841307480364, 38.89849115237697], [-109.42892647918637, 38.87283513063638]]]}",549.0,549.0,0.0,18.0,18.0,0.0,2023-10-28 03:48:57.947403
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/C4,"{'type': 'Polygon', 'coordinates': [[[-109.39596651720268, 38.84907524515759], [-109.36300666242322, 38.82530738493288], [-109.33249317493319, 38.850980576415786], [-109.36545314673847, 38.874739798126406], [-109.39596651720268, 38.84907524515759]]]}",527.0,527.0,0.0,29.0,29.0,0.0,2023-10-28 12:59:53.993615
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/C5,"{'type': 'Polygon', 'coordinates': [[[-109.36300666242322, 38.82530738493288], [-109.33004667558822, 38.80153162385441], [-109.29953328320529, 38.82721334514843], [-109.33249317493319, 38.850980576415786], [-109.36300666242322, 38.82530738493288]]]}",529.0,529.0,0.0,48.0,48.0,0.0,2023-10-28 21:51:14.361008
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/C6,"{'type': 'Polygon', 'coordinates': [[[-109.33004667558822, 38.80153162385441], [-109.29708677128667, 38.77774788099888], [-109.26657332311892, 38.80343816242886], [-109.29953328320529, 38.82721334514843], [-109.33004667558822, 38.80153162385441]]]}",515.0,515.0,0.0,84.0,84.0,0.0,2023-10-29 05:08:46.106967
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/B3,"{'type': 'Polygon', 'coordinates': [[[-109.39841307480364, 38.89849115237697], [-109.36545314673847, 38.874739798126406], [-109.33493968672047, 38.900395123141855], [-109.36789964331457, 38.924137926031825], [-109.39841307480364, 38.89849115237697]]]}",552.0,552.0,0.0,5.0,5.0,0.0,2023-10-29 14:11:24.457014
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/B4,"{'type': 'Polygon', 'coordinates': [[[-109.36545314673847, 38.874739798126406], [-109.33249317493319, 38.850980576415786], [-109.30197980774773, 38.87664443649926], [-109.33493968672047, 38.900395123141855], [-109.36545314673847, 38.874739798126406]]]}",556.0,556.0,0.0,12.0,12.0,0.0,2023-10-29 21:35:29.133408
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/B5,"{'type': 'Polygon', 'coordinates': [[[-109.33249317493319, 38.850980576415786], [-109.29953328320529, 38.82721334514843], [-109.26901985795868, 38.852885770670355], [-109.30197980774773, 38.87664443649926], [-109.33249317493319, 38.850980576415786]]]}",536.0,536.0,0.0,32.0,32.0,0.0,2023-10-30 04:31:05.912738
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/B6,"{'type': 'Polygon', 'coordinates': [[[-109.29953328320529, 38.82721334514843], [-109.26657332311892, 38.80343816242886], [-109.23605996120031, 38.829119214012664], [-109.26901985795868, 38.852885770670355], [-109.29953328320529, 38.82721334514843]]]}",516.0,516.0,0.0,36.0,36.0,0.0,2023-10-30 15:23:03.405787
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/A3,"{'type': 'Polygon', 'coordinates': [[[-109.36789964331457, 38.924137926031825], [-109.33493968672047, 38.900395123141855], [-109.30442625414676, 38.92604117962929], [-109.33738621093673, 38.949775349930455], [-109.36789964331457, 38.924137926031825]]]}",557.0,557.0,0.0,3.0,3.0,0.0,2023-10-31 02:27:33.794910
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/A4,"{'type': 'Polygon', 'coordinates': [[[-109.33493968672047, 38.900395123141855], [-109.30197980774773, 38.87664443649926], [-109.27146631484291, 38.902299063660024], [-109.30442625414676, 38.92604117962929], [-109.33493968672047, 38.900395123141855]]]}",552.0,552.0,0.0,7.0,7.0,0.0,2023-10-31 16:22:05.418034
projects/rangelands-explo-1571664594580/assets/Ranches/HLD/A5,"{'type': 'Polygon', 'coordinates': [[[-109.30197980774773, 38.87664443649926], [-109.26901985795868, 38.852885770670355], [-109.23850642611161, 38.8785490290905], [-109.27146631484291, 38.902299063660024], [-109.30197980774773, 38.87664443649926]]]}",,,,,,,
