Unnamed: 0.1,Unnamed: 0,roi,geometry,landsat_total,landsat_success,landsat_failed,modis_total,modis_success,modis_failed,imagery_downloaded
12,12,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/E1,"{'type': 'Polygon', 'coordinates': [[[-109.55587317958233, 38.86902571185353], [-109.52291324141765, 38.84526449887339], [-109.49239984149871, 38.87093045026957], [-109.52535977261151, 38.89468307871238], [-109.55587317958233, 38.86902571185353]]]}",529.0,529.0,0.0,1948.0,1948.0,0.0,2023-08-12 01:41:13.601062
13,13,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/E2,"{'type': 'Polygon', 'coordinates': [[[-109.52291324141765, 38.84526449887339], [-109.48995337417047, 38.82149531915096], [-109.45943992103653, 38.847169870162624], [-109.49239984149871, 38.87093045026957], [-109.52291324141765, 38.84526449887339]]]}",545.0,545.0,0.0,1958.0,1958.0,0.0,2023-08-12 06:23:29.024549
14,14,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/E3,"{'type': 'Polygon', 'coordinates': [[[-109.48995337417047, 38.82149531915096], [-109.45699342923142, 38.79771830816171], [-109.42647995343128, 38.8234013812275], [-109.45943992103653, 38.847169870162624], [-109.48995337417047, 38.82149531915096]]]}",546.0,546.0,0.0,1960.0,1960.0,0.0,2023-08-12 11:10:44.467932
15,15,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/E4,"{'type': 'Polygon', 'coordinates': [[[-109.45699342923142, 38.79771830816171], [-109.424033530378, 38.77393324687388], [-109.39352006246598, 38.799624995041974], [-109.42647995343128, 38.8234013812275], [-109.45699342923142, 38.79771830816171]]]}",520.0,520.0,0.0,1939.0,1939.0,0.0,2023-08-12 15:55:17.030799
16,16,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/E5,"{'type': 'Polygon', 'coordinates': [[[-109.424033530378, 38.77393324687388], [-109.3910736198354, 38.75014033188449], [-109.36056019038215, 38.77584060070729], [-109.39352006246598, 38.799624995041974], [-109.424033530378, 38.77393324687388]]]}",487.0,487.0,0.0,1914.0,1914.0,0.0,2023-08-12 20:00:22.243686
17,17,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/E6,"{'type': 'Polygon', 'coordinates': [[[-109.3910736198354, 38.75014033188449], [-109.35811363986456, 38.72633945214815], [-109.32760027945719, 38.75204831783137], [-109.36056019038215, 38.77584060070729], [-109.3910736198354, 38.75014033188449]]]}",487.0,487.0,0.0,1918.0,1918.0,0.0,2023-08-12 23:19:37.043071
18,18,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/D2,"{'type': 'Polygon', 'coordinates': [[[-109.49239984149871, 38.87093045026957], [-109.45943992103653, 38.847169870162624], [-109.42892647918637, 38.87283513063638], [-109.461886424586, 38.8965871833624], [-109.49239984149871, 38.87093045026957]]]}",497.0,497.0,0.0,1923.0,1923.0,0.0,2023-08-13 02:43:31.846299
19,19,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/D3,"{'type': 'Polygon', 'coordinates': [[[-109.45943992103653, 38.847169870162624], [-109.42647995343128, 38.8234013812275], [-109.39596651720268, 38.84907524515759], [-109.42892647918637, 38.87283513063638], [-109.45943992103653, 38.847169870162624]]]}",505.0,505.0,0.0,1925.0,1925.0,0.0,2023-08-13 06:21:09.231672
20,20,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/D4,"{'type': 'Polygon', 'coordinates': [[[-109.42647995343128, 38.8234013812275], [-109.39352006246598, 38.799624995041974], [-109.36300666242322, 38.82530738493288], [-109.39596651720268, 38.84907524515759], [-109.42647995343128, 38.8234013812275]]]}",533.0,533.0,0.0,1952.0,1952.0,0.0,2023-08-13 10:22:23.987153
21,21,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/D5,"{'type': 'Polygon', 'coordinates': [[[-109.39352006246598, 38.799624995041974], [-109.36056019038215, 38.77584060070729], [-109.33004667558822, 38.80153162385441], [-109.36300666242322, 38.82530738493288], [-109.39352006246598, 38.799624995041974]]]}",458.0,458.0,0.0,1893.0,1893.0,0.0,2023-08-13 13:47:46.158277
22,22,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/C2,"{'type': 'Polygon', 'coordinates': [[[-109.461886424586, 38.8965871833624], [-109.42892647918637, 38.87283513063638], [-109.39841307480364, 38.89849115237697], [-109.43137292607634, 38.92223461207479], [-109.461886424586, 38.8965871833624]]]}",546.0,546.0,0.0,1967.0,1967.0,0.0,2023-08-13 17:49:35.039243
