roi,geometry,landsat_total,landsat_success,landsat_failed,modis_total,modis_success,modis_failed,imagery_downloaded
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/AR1/AR1,"{'type': 'Polygon', 'coordinates': [[[-99.42784022788643, 36.420849413998084], [-99.41200594920652, 36.42084941271228], [-99.41200594920652, 36.433317005093976], [-99.42784022788643, 36.43331704168593], [-99.42784022788643, 36.420849413998084]]]}",462.0,462.0,0.0,32.0,32.0,0.0,13:28.7
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/A32/A32,"{'type': 'Polygon', 'coordinates': [[[-97.82765613428141, 36.81265274579693], [-97.81203595010551, 36.812652780792156], [-97.81203595010551, 36.82495095476748], [-97.82765613428141, 36.82495094565695], [-97.82765613428141, 36.81265274579693]]]}",902.0,902.0,0.0,3.0,3.0,0.0,31:49.7
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/ARbc/ARbc,"{'type': 'Polygon', 'coordinates': [[[-98.04794468213066, 35.541688570404716], [-98.03253846889784, 35.54168854735564], [-98.03253846889784, 35.55415175013805], [-98.04794468213066, 35.55415171061447], [-98.04794468213066, 35.541688570404716]]]}",455.0,455.0,0.0,12.0,12.0,0.0,50:43.9
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/CZ1_xSJ/CZ1_xSJ,"{'type': 'Polygon', 'coordinates': [[[-119.74152037807104, 37.09993480965112], [-119.7210084617827, 37.09993484049417], [-119.7210084617827, 37.11650034367294], [-119.74152037807104, 37.116500391549145], [-119.74152037807104, 37.09993480965112]]]}",1.0,1.0,0.0,1.0,1.0,0.0,50:43.9
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Ctn/Ctn,"{'type': 'Polygon', 'coordinates': [[[-101.8565565214069, 43.94272410837846], [-101.83638351709999, 43.94272411232997], [-101.83638351709999, 43.95786279805809], [-101.8565565214069, 43.95786281150426], [-101.8565565214069, 43.94272410837846]]]}",1066.0,1066.0,0.0,36.0,36.0,0.0,2023-08-25 00:40:36.002446
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Fpe/Fpe,"{'type': 'Polygon', 'coordinates': [[[-105.1120302563225, 48.300037274644986], [-105.09194204022667, 48.30003724263014], [-105.09194205279661, 48.31316932941548], [-105.11203027624612, 48.313169300006024], [-105.1120302563225, 48.300037274644986]]]}",979.0,979.0,0.0,55.0,55.0,0.0,2023-08-25 06:14:44.421866
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Hn2_3/Hn2_3,"{'type': 'Polygon', 'coordinates': [[[-119.47339908816289, 46.68322071758054], [-119.45331530308788, 46.68322077736854], [-119.45331524517691, 46.695790931335615], [-119.4733990638503, 46.69579093650437], [-119.47339908816289, 46.68322071758054]]]}",1018.0,1018.0,0.0,525.0,525.0,0.0,2023-08-25 13:34:41.999494
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/IB2/IB2,"{'type': 'Polygon', 'coordinates': [[[-88.24980583372893, 41.833257170331585], [-88.2321700861867, 41.833257204742374], [-88.2321700861867, 41.845921033452], [-88.24980583372893, 41.845921075126284], [-88.24980583372893, 41.833257170331585]]]}",266.0,266.0,0.0,53.0,53.0,0.0,2023-08-25 14:44:36.463004
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/KFS/KFS,"{'type': 'Polygon', 'coordinates': [[[-95.19835171303416, 39.049939793200835], [-95.18161670945864, 39.04993979653709], [-95.18161670945864, 39.0624699076058], [-95.19835171303416, 39.06246992767962], [-95.19835171303416, 39.049939793200835]]]}",359.0,359.0,0.0,31.0,31.0,0.0,2023-08-25 16:19:26.825530
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/KLS/KLS,"{'type': 'Polygon', 'coordinates': [[[-97.57683616613856, 38.767750074514275], [-97.5599273024157, 38.76775008371711], [-97.5599273024157, 38.78113181452542], [-97.57683616613856, 38.7811318635118], [-97.57683616613856, 38.767750074514275]]]}",823.0,823.0,0.0,227.0,227.0,0.0,2023-08-25 20:17:33.357560
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/KM2_3/KM2_3,"{'type': 'Polygon', 'coordinates': [[[-85.31962798877352, 42.43752332600201], [-85.29971363350906, 42.437523319554174], [-85.29971363350906, 42.4525638734083], [-85.31962798877352, 42.452563927035996], [-85.31962798877352, 42.43752332600201]]]}",451.0,451.0,0.0,30.0,30.0,0.0,2023-08-25 21:54:53.560853
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Rwe_Rms/Rwe_Rms,"{'type': 'Polygon', 'coordinates': [[[-116.7670011743958, 43.05835954215389], [-116.74026442455076, 43.0583595068186], [-116.74026444500768, 43.07089852907449], [-116.76700115716929, 43.07089853105114], [-116.7670011743958, 43.05835954215389]]]}",134.0,134.0,0.0,2.0,2.0,0.0,2023-08-26 16:33:26.325257
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Shd/Shd,"{'type': 'Polygon', 'coordinates': [[[-96.69484830166449, 36.925039917854754], [-96.6763965506145, 36.92503994199053], [-96.6763965506145, 36.937663663280404], [-96.69484830166449, 36.937663654643394], [-96.69484830166449, 36.925039917854754]]]}",1283.0,1283.0,0.0,46.0,46.0,0.0,2023-08-26 21:17:55.633279
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Snd/Snd,"{'type': 'Polygon', 'coordinates': [[[-121.76282191594971, 38.02917135959836], [-121.74514164498021, 38.02917131839572], [-121.74514164498021, 38.04171029184512], [-121.76282191594971, 38.04171034547462], [-121.76282191594971, 38.02917135959836]]]}",712.0,712.0,0.0,370.0,370.0,0.0,2023-08-26 22:58:59.686722
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Snf/Snf,"{'type': 'Polygon', 'coordinates': [[[-121.73608514685534, 38.037554457899915], [-121.71870359368671, 38.03755445974561], [-121.71870359368671, 38.05002209263543], [-121.73608514685534, 38.0500220661767], [-121.73608514685534, 38.037554457899915]]]}",734.0,734.0,0.0,68.0,68.0,0.0,2023-08-27 00:26:46.051168
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Ton/Ton,"{'type': 'Polygon', 'coordinates': [[[-120.97358331075897, 38.425019108566026], [-120.95736116168874, 38.42501906983065], [-120.95736116168874, 38.43742432737566], [-120.97358331075897, 38.43742434275251], [-120.97358331075897, 38.425019108566026]]]}",1361.0,1361.0,0.0,9.0,9.0,0.0,2023-08-27 04:31:10.213175
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Tx1/Tx1,"{'type': 'Polygon', 'coordinates': [[[-97.30074205039199, 30.612491261090685], [-97.28623655464727, 30.61249122235803], [-97.28623655464727, 30.624936567689616], [-97.30074205039199, 30.624936594420568], [-97.30074205039199, 30.612491261090685]]]}",421.0,421.0,0.0,70.0,70.0,0.0,2023-08-27 05:24:23.655253
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Tx2/Tx2,"{'type': 'Polygon', 'coordinates': [[[-97.30074205039199, 30.612491261090685], [-97.28623655464727, 30.61249122235803], [-97.28623655464727, 30.624936567689616], [-97.30074205039199, 30.624936594420568], [-97.30074205039199, 30.612491261090685]]]}",421.0,421.0,0.0,70.0,70.0,0.0,2023-08-27 06:15:22.642886
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Var/Var,"{'type': 'Polygon', 'coordinates': [[[-120.95917155006855, 38.408230607191534], [-120.94303406912871, 38.408230595298434], [-120.94303406912871, 38.420805240597105], [-120.95917155006855, 38.420805219041334], [-120.95917155006855, 38.408230607191534]]]}",1365.0,1365.0,0.0,11.0,11.0,0.0,2023-08-27 10:18:11.715115
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xAE/xAE,"{'type': 'Polygon', 'coordinates': [[[-99.06889599570431, 35.40414310423197], [-99.0489816708978, 35.40414312545801], [-99.0489816708978, 35.41666429904847], [-99.06889599570431, 35.41666431885176], [-99.06889599570431, 35.40414310423197]]]}",1281.0,1281.0,0.0,46.0,46.0,0.0,2023-08-27 14:17:35.617329
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xCL/xCL,"{'type': 'Polygon', 'coordinates': [[[-97.57747380381198, 33.39582646144364], [-97.5625804446655, 33.39582641726548], [-97.5625804446655, 33.40829413027009], [-97.57747380381198, 33.408294057368536], [-97.57747380381198, 33.39582646144364]]]}",842.0,842.0,0.0,70.0,70.0,0.0,2023-08-27 16:29:22.919941
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xDC/xDC,"{'type': 'Polygon', 'coordinates': [[[-99.11789263765942, 47.15413305146438], [-99.0960073493779, 47.154133046984384], [-99.09600736508924, 47.16668093257041], [-99.11789260361125, 47.166680977755576], [-99.11789263765942, 47.15413305146438]]]}",497.0,497.0,0.0,178.0,178.0,0.0,2023-08-27 17:55:38.136436
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xNG/xNG,"{'type': 'Polygon', 'coordinates': [[[-100.92603580237838, 46.762485693690316], [-100.90427536775385, 46.762485763369284], [-100.9042753394154, 46.77503362522795], [-100.92603576087365, 46.77503361548567], [-100.92603580237838, 46.762485693690316]]]}",931.0,931.0,0.0,28.0,28.0,0.0,2023-08-27 20:25:50.888880
projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xWD/xWD,"{'type': 'Polygon', 'coordinates': [[[-99.25111274177345, 47.120810167182285], [-99.23081488392468, 47.1208101545404], [-99.23081486465752, 47.1333357902298], [-99.25111268411071, 47.13333581349271], [-99.25111274177345, 47.120810167182285]]]}",535.0,535.0,0.0,256.0,256.0,0.0,2023-08-27 21:36:11.971794
